Airport,CAM 8 SF-S 1-1,KSFO,37.62237148,-122.3986236,,,CAM SFORDD P1,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,3,38.207313,-121.949507,,,CAM SFORDD P2,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,4,38.243223,-121.937762,,,CAM SFORDD P3,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,5,38.423615,-121.966926,,,CAM SFORDD P4,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,6A,38.561626,-121.99476,,,CAM SFORDD P5,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,6B,38.574379,-121.965298,,,CAM SFORDD P6,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,7,38.721154,-122.046973,,,CAM SFORDD P7,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,8A,38.83587,-122.043979,,,CAM SFORDD P8,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,8B,38.951786,-122.09288,,,CAM SFORDD P9,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,9,39.094959,-122.154815,,,CAM SFORDD P10,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,10,39.218559,-122.152757,,,CAM SFORDD P11,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,11,39.377534,-122.179586,,,CAM SFORDD P12,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,12,39.523964,-122.218156,,,CAM SFORDD P13,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,13,39.682039,-122.196456,,,CAM SFORDD P14,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,14,39.79729,-122.197023,,,CAM SFORDD P15,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,15,39.942528,-122.169335,,,CAM SFORDD P16,CAM RTE KSFO to KRDD,SFO-SEA
Lighthouse,CAM 8 SF-S 1-1,16,40.018388,-122.197094,,,CAM SFORDD P17,CAM RTE KSFO to KRDD,SFO-SEA
